,,,,,,
,,,,,,
,date,eggs (number eaten),yogurt (servings eaten,breakfast at school (yes or no),meat (servings eaten),school day
,2026-04-14,2,1,yes,0,yes
,2026-04-15,3,1,no,0,yes
,2026-04-16,0,1,yes,1,yes
,2026-04-17,2,1,yes,1,yes
,2026-04-18,2,0,no,1,no
,2026-04-19,4,0,no,1,no
,2026-04-20,2,1,yes,1,yes
,2026-04-21,1,1,yes,1,yes
,2026-04-22,4,0,no,1,yes
,2026-04-23,2,1,yes,1,yes
,2026-04-24,0,1,yes,1,yes
,2026-04-25,0,0,no,3,no
,2026-04-26,2,0,no,3,no
,2026-04-27,1,0,yes,3,yes
,2026-04-28,1,1,yes,2,yes
,2026-04-29,2,1,no,2,yes
,2026-04-30,2,1,yes,1,yes
,2026-05-01,1,0,no,2,yes
,2026-05-02,2,0,no,0,no
,2026-05-03,2,0,no,0,no
,2026-05-04,0,1,yes,2,yes
,2026-05-05,0,1,yes,2,yes
,2026-05-06,2,0,yes,3,yes
,2026-05-07,0,1,yes,2,yes
,2026-05-08,2,1,yes,1,yes
,2026-05-09,2,0,no,0,no
,2026-05-10,2,0,no,2,no
,2026-05-11,0,1,yes,1,yes
,2026-05-12,2,1,yes,1,yes
,2026-05-13,4,0,yes,1,yes
,2026-05-14,2,1,yes,1,yes
,2026-05-15,0,1,yes,2,yes
,2026-05-16,0,0,no,3,no
,2026-05-17,0,0,no,4,no
,2026-05-18,3,0,no,1,no
,2026-05-19,2,1,yes,2,yes
,2026-05-20,2,1,yes,2,yes
,2026-05-21,2,1,yes,2,yes
,2026-05-22,2,1,yes,1,yes
,2026-05-23,0,0,no,3,no
,2026-05-24,0,0,no,2,no
,2026-05-25,2,0,no,2,no
